순위,제목,가수,앨범명
1,봄여름가을겨울(StillLife),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2,TOMBOY,(여자)아이들,I NEVER DIE
3,LOVEDIVE,IVE (아이브),LOVE DIVE
4,FeelMyRhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
5,사랑인가봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,GANADARA(Feat.아이유),박재범,GANADARA
7,취중고백,김민석 (멜로망스),취중고백
8,듣고싶을까,MSG워너비 (M.O.M),듣고 싶을까
9,INVU,태연 (TAEYEON),INVU - The 3rd Album
10,사랑은늘도망가,임영웅,신사와 아가씨 OST Part.2
11,다정히내이름을부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
12,ELEVEN,IVE (아이브),ELEVEN
13,신호등,이무진,신호등
14,19금abcdefu,GAYLE,abcdefu
15,어제처럼,폴킴,어제처럼
16,Stay,The Kid LAROI & Justin Bieber,Stay
17,회전목마(Feat.Zion.T&원슈타인)(Prod.bySlom),sokodomo,쇼미더머니 10 Episode 2
18,"스물다섯,스물하나",자우림,"Goodbye, grief."
19,LOVEme,BE'O (비오),LOVE me
20,언제나사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
21,strawberrymoon,아이유 (IU),strawberry moon
22,Stronger(WhatDoesn'tKillYou),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
23,SMILEY(Feat.BIBI),YENA (최예나),SMiLEY
24,RUN2U,STAYC (스테이씨),YOUNG-LUV.COM
25,이제나만믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
26,리무진(Feat.MINO)(Prod.byGRAY),BE'O (비오),쇼미더머니 10 Episode 3
27,다시사랑한다면(김필Ver.),임영웅,사랑의 콜센타 PART56
28,NextLevel,aespa,Next Level
29,너를생각해,주시크 (Joosiq),너를 생각해
30,호랑수월가,탑현,호랑수월가
31,흔들리는꽃들속에서네샴푸향이느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
32,Weekend,태연 (TAEYEON),Weekend
33,너의번호를누르고,김나영,너의 번호를 누르고
34,MYBAG,(여자)아이들,I NEVER DIE
35,라일락,아이유 (IU),IU 5th Album 'LILAC'
36,OHAYOMYNIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
37,바라만본다,MSG워너비 (M.O.M),MSG워너비 1집
38,내손을잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
39,BadHabits,Ed Sheeran,=
40,내가아니라도,주호,내가 아니라도
41,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
42,별빛같은나의사랑아,임영웅,별빛 같은 나의 사랑아
43,오늘도빛나는너에게(ToYouMyLight)(Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
44,서랍,10CM,그 해 우리는 OST Part.1
45,CountingStars(Feat.Beenzino),BE'O (비오),Counting Stars
46,그대라는사치,임영웅,사랑의 콜센타 PART62
47,드라마,아이유 (IU),조각집
48,StepBack,GOT the beat,Step Back
49,TinyRiot,Sam Ryder,The Sun's Gonna Rise
50,벚꽃이피면우리그만헤어져,벤,벚꽃이 피면 우리 그만 헤어져
