ID,스타벅스,커피빈,이디야,빽다방,커피지수
가평,2,0,9,0,0.2222222222222222
강릉,4,0,17,2,0.21052631578947367
거제,6,0,9,0,0.6666666666666666
경산,8,0,8,4,0.6666666666666666
경주,7,2,25,1,0.34615384615384615
계룡,1,0,0,0,inf
고령,1,0,1,1,0.5
고성(강원),1,0,0,0,inf
고양 덕양,11,1,17,9,0.46153846153846156
고양 일산동,11,1,12,6,0.6666666666666666
고양 일산서,15,1,11,3,1.1428571428571428
공주,2,0,4,1,0.4
과천,3,0,2,0,1.5
광명,10,1,8,3,1.0
광양,2,0,9,2,0.18181818181818182
광주,6,0,14,4,0.3333333333333333
광주 광산,14,0,20,4,0.5833333333333334
광주 남구,11,2,9,2,1.1818181818181819
광주 동구,9,1,2,4,1.6666666666666667
광주 북구,12,0,16,3,0.631578947368421
광주 서구,11,1,13,1,0.8571428571428571
구리,4,0,10,3,0.3076923076923077
구미,10,0,15,5,0.5
군산,4,0,8,1,0.4444444444444444
군포,5,1,7,9,0.375
김천,2,0,2,1,0.6666666666666666
김포,14,2,17,13,0.5333333333333333
김해,13,1,30,3,0.42424242424242425
나주,1,0,4,3,0.14285714285714285
남양주,12,1,43,7,0.26
논산,2,0,2,1,0.6666666666666666
당진,2,0,7,3,0.2
대구 남구,3,0,6,0,0.5
대구 달서,18,0,16,8,0.75
대구 달성,4,0,10,3,0.3076923076923077
대구 동구,9,0,9,3,0.75
대구 북구,5,0,10,5,0.3333333333333333
대구 서구,2,0,3,1,0.5
대구 수성,19,1,10,4,1.4285714285714286
대구 중구,9,3,7,4,1.0909090909090908
대전 대덕,5,0,4,2,0.8333333333333334
대전 동구,5,0,2,6,0.625
대전 서구,22,1,13,17,0.7666666666666667
대전 유성,12,1,12,9,0.6190476190476191
대전 중구,5,0,3,7,0.5
동두천,2,0,2,1,0.6666666666666666
동해,1,1,1,1,1.0
목포,5,0,11,9,0.25
무안,1,0,5,3,0.125
문경,1,0,4,1,0.2
밀양,3,0,6,0,0.5
보령,1,0,1,1,0.5
보은,1,0,1,1,0.5
부산 강서,3,1,8,0,0.5
부산 금정,8,0,7,1,1.0
부산 기장,4,1,5,0,1.0
부산 남구,6,0,13,1,0.42857142857142855
부산 동구,4,1,1,0,5.0
부산 동래,5,0,13,1,0.35714285714285715
부산 부산진,19,1,8,3,1.8181818181818181
부산 북구,2,1,7,3,0.3
부산 사상,3,0,4,0,0.75
부산 사하,8,0,8,1,0.8888888888888888
부산 서구,2,0,2,0,1.0
부산 수영,6,1,5,0,1.4
부산 연제,6,0,8,0,0.75
부산 영도,1,0,2,0,0.5
부산 중구,8,3,4,3,1.5714285714285714
부산 해운대,33,4,7,2,4.111111111111111
부안,1,0,4,1,0.2
부천,16,5,26,13,0.5384615384615384
사천,2,0,4,0,0.5
산청,1,0,1,0,1.0
서귀포,10,0,7,9,0.625
서산,3,0,8,1,0.3333333333333333
서울 강남,76,40,23,9,3.625
서울 강동,13,6,14,8,0.8636363636363636
서울 강북,5,0,11,4,0.3333333333333333
서울 강서,16,5,34,10,0.4772727272727273
서울 관악,11,2,21,7,0.4642857142857143
서울 광진,17,3,12,6,1.1111111111111112
서울 구로,10,2,18,8,0.46153846153846156
서울 금천,11,2,17,1,0.7222222222222222
서울 노원,11,2,17,8,0.52
서울 도봉,2,0,12,4,0.125
서울 동대문,9,3,16,3,0.631578947368421
서울 동작,11,1,10,2,1.0
서울 마포,26,7,22,6,1.1785714285714286
서울 서대문,17,4,12,4,1.3125
서울 서초,38,23,14,4,3.388888888888889
서울 성동,5,1,13,9,0.2727272727272727
서울 성북,15,3,17,10,0.6666666666666666
서울 송파,33,7,28,8,1.1111111111111112
서울 양천,14,4,15,1,1.125
서울 영등포,28,7,25,6,1.1290322580645162
서울 용산,18,3,10,4,1.5
서울 은평,6,2,18,6,0.3333333333333333
서울 종로,27,13,11,3,2.857142857142857
서울 중구,42,7,13,5,2.7222222222222223
서울 중랑,6,1,13,6,0.3684210526315789
서천,2,0,2,0,1.0
성남 분당,45,6,15,10,2.04
성남 수정,3,1,11,6,0.23529411764705882
성남 중원,2,1,9,6,0.2
성주,1,0,1,0,1.0
세종,7,0,14,6,0.35
속초,4,0,9,0,0.4444444444444444
수원 권선,8,1,11,4,0.6
수원 영통,13,3,15,4,0.8421052631578947
수원 장안,4,3,4,5,0.7777777777777778
수원 팔달,8,2,6,5,0.9090909090909091
순천,5,0,19,3,0.22727272727272727
시흥,8,0,17,9,0.3076923076923077
아산,5,0,9,9,0.2777777777777778
안동,5,0,6,1,0.7142857142857143
안산 단원,5,0,25,7,0.15625
안산 상록,2,0,15,2,0.11764705882352941
안성,6,0,4,0,1.5
안양 동안,14,1,14,3,0.8823529411764706
안양 만안,4,1,9,7,0.3125
양산,7,0,9,1,0.7
양주,7,0,16,2,0.3888888888888889
양평,3,0,4,1,0.6
여수,8,0,18,3,0.38095238095238093
여주,2,1,4,0,0.75
영덕,1,1,2,0,1.0
영양,1,0,0,0,inf
예산,1,0,3,1,0.25
오산,6,0,8,2,0.6
용인 기흥,12,1,22,8,0.43333333333333335
용인 수지,9,1,16,5,0.47619047619047616
용인 처인,5,1,9,2,0.5454545454545454
울산 남구,14,1,29,7,0.4166666666666667
울산 동구,2,0,7,1,0.25
울산 북구,5,0,16,1,0.29411764705882354
울산 울주,1,0,10,0,0.1
울산 중구,6,1,12,0,0.5833333333333334
원주,8,1,15,3,0.5
음성,2,0,3,0,0.6666666666666666
의왕,2,0,4,3,0.2857142857142857
의정부,10,0,22,6,0.35714285714285715
이천,8,1,9,2,0.8181818181818182
익산,4,0,8,3,0.36363636363636365
인제,2,0,3,0,0.6666666666666666
인천 강화,1,0,1,1,0.5
인천 계양,4,0,14,6,0.2
인천 남동,12,1,26,12,0.34210526315789475
인천 동구,2,0,1,1,1.0
인천 미추홀,10,0,13,4,0.5882352941176471
인천 부평,9,1,22,6,0.35714285714285715
인천 서구,10,0,23,16,0.2564102564102564
인천 연수,14,6,15,10,0.8
인천 옹진,1,0,2,0,0.5
인천 중구,4,2,11,7,0.3333333333333333
임실,1,0,1,0,1.0
전주 덕진,6,0,20,9,0.20689655172413793
전주 완산,10,1,14,8,0.5
제주,15,2,11,10,0.8095238095238095
제천,2,1,9,0,0.3333333333333333
증평,1,0,4,1,0.2
진도,1,0,0,0,inf
진주,7,1,18,10,0.2857142857142857
창녕,1,0,2,0,0.5
창원 성산,10,3,13,2,0.8666666666666667
창원 의창,4,0,8,0,0.5
창원 진해,2,1,6,1,0.42857142857142855
창원 합포,4,1,6,0,0.8333333333333334
창원 회원,6,0,4,0,1.5
천안 동남,5,1,6,7,0.46153846153846156
천안 서북,13,0,15,11,0.5
청도,1,0,1,0,1.0
청송,1,1,1,0,2.0
청양,1,0,1,0,1.0
청주 상당,4,1,8,2,0.5
청주 서원,4,0,7,5,0.3333333333333333
청주 청원,3,0,8,5,0.23076923076923078
청주 흥덕,8,0,17,6,0.34782608695652173
춘천,9,0,27,3,0.3
충주,4,0,8,2,0.4
통영,1,1,0,3,0.6666666666666666
파주,8,1,20,9,0.3103448275862069
평창,3,0,2,0,1.5
평택,7,2,19,6,0.36
포천,5,0,11,0,0.45454545454545453
포항 남구,8,0,6,2,1.0
포항 북구,5,1,12,3,0.4
하남,10,1,27,3,0.36666666666666664
하동,1,0,0,1,1.0
홍천,2,0,3,1,0.5
화성,19,5,28,17,0.5333333333333333
횡성,1,0,1,0,1.0
